uf,cod_municipio_ibge,cod_municipio_tse,nome_municipio_ibge,nome_municipio_tse
RO,1100015,00310,Alta Floresta D'Oeste,ALTA FLORESTA DO OESTE
RO,1100023,00078,Ariquemes,ARIQUEMES
RO,1100031,00450,Cabixi,CABIXI
RO,1100049,00094,Cacoal,CACOAL
RO,1100056,00272,Cerejeiras,CEREJEIRAS
RO,1100064,00230,Colorado do Oeste,COLORADO DO OESTE
RO,1100072,00655,Corumbiara,CORUMBIARA
RO,1100080,00213,Costa Marques,COSTA MARQUES
RO,1100098,00256,Espigão D'Oeste,ESPIGÃO DO OESTE
RO,1100106,00019,Guajará-Mirim,GUAJARÁ-MIRIM
RO,1100114,00159,Jaru,JARU
RO,1100122,00051,Ji-Paraná,JI-PARANÁ
RO,1100130,00396,Machadinho D'Oeste,MACHADINHO DO OESTE
RO,1100148,00370,Nova Brasilândia D'Oeste,NOVA BRASILÂNDIA DO OESTE
RO,1100155,00175,Ouro Preto do Oeste,OURO PRETO DO OESTE
RO,1100189,00116,Pimenta Bueno,PIMENTA BUENO
RO,1100205,00035,Porto Velho,PORTO VELHO
RO,1100254,00191,Presidente Médici,PRESIDENTE MÉDICI
RO,1100262,00647,Rio Crespo,RIO CRESPO
RO,1100288,00299,Rolim de Moura,ROLIM DE MOURA
RO,1100296,00353,Santa Luzia D'Oeste,SANTA LUZIA DO OESTE
RO,1100304,00132,Vilhena,VILHENA
RO,1100320,00418,São Miguel do Guaporé,SÃO MIGUEL DO GUAPORÉ
RO,1100338,00434,Nova Mamoré,NOVA MAMORÉ
RO,1100346,00337,Alvorada D'Oeste,ALVORADA DO OESTE
RO,1100379,00736,Alto Alegre dos Parecis,ALTO ALEGRE DOS PARECIS
RO,1100403,00639,Alto Paraíso,ALTO PARAÍSO
RO,1100452,00779,Buritis,BURITIS
RO,1100502,00515,Novo Horizonte do Oeste,NOVO HORIZONTE DO OESTE
RO,1100601,00620,Cacaulândia,CACAULÂNDIA
RO,1100700,00671,Campo Novo de Rondônia,CAMPO NOVO DE RONDÔNIA
RO,1100809,00477,Candeias do Jamari,CANDEIAS DO JAMARI
RO,1100908,00531,Castanheiras,CASTANHEIRAS
RO,1100924,00809,Chupinguaia,CHUPINGUAIA
RO,1100940,00680,Cujubim,CUJUBIM
RO,1101005,00612,Governador Jorge Teixeira,GOVERNADOR JORGE TEIXEIRA
RO,1101104,00493,Itapuã do Oeste,ITAPUÃ DO OESTE
RO,1101203,00604,Ministro Andreazza,MINISTRO ANDREAZZA
RO,1101302,00574,Mirante da Serra,MIRANTE DA SERRA
RO,1101401,00663,Monte Negro,MONTE NEGRO
RO,1101435,00744,Nova União,NOVA UNIÃO
RO,1101450,00701,Parecis,PARECIS
RO,1101468,00787,Pimenteiras do Oeste,PIMENTEIRAS DO OESTE
RO,1101476,00728,Primavera de Rondônia,PRIMAVERA DE RONDÔNIA
RO,1101484,00710,São Felipe D'Oeste,SÃO FELIPE DO OESTE
RO,1101492,00795,São Francisco do Guaporé,SÃO FRANCISCO DO GUAPORÉ
RO,1101500,00582,Seringueiras,SERINGUEIRAS
RO,1101559,00752,Teixeirópolis,TEIXEIRÓPOLIS
RO,1101609,00590,Theobroma,THEOBROMA
RO,1101708,00566,Urupá,URUPÁ
RO,1101757,00698,Vale do Anari,VALE DO ANARI
RO,1101807,00558,Vale do Paraíso,VALE DO PARAÍSO
AC,1200013,01120,Acrelândia,ACRELÂNDIA
AC,1200054,01570,Assis Brasil,ASSIS BRASIL
AC,1200104,01058,Brasiléia,BRASILÉIA
AC,1200138,01007,Bujari,BUJARI
AC,1200179,01015,Capixaba,CAPIXABA
AC,1200203,01074,Cruzeiro do Sul,CRUZEIRO DO SUL
AC,1200252,01112,Epitaciolândia,EPITACIOLÂNDIA
AC,1200302,01139,Feijó,FEIJÓ
AC,1200328,01104,Jordão,JORDÃO
AC,1200336,01090,Mâncio Lima,MÂNCIO LIMA
AC,1200344,01554,Manoel Urbano,MANOEL URBANO
AC,1200351,01040,Marechal Thaumaturgo,MARECHAL THAUMATURGO
AC,1200385,01511,Plácido de Castro,PLÁCIDO DE CASTRO
AC,1200393,01066,Porto Walter,PORTO WALTER
AC,1200401,01392,Rio Branco,RIO BRANCO
AC,1200427,01082,Rodrigues Alves,RODRIGUES ALVES
AC,1200435,01031,Santa Rosa do Purus,SANTA ROSA DO PURUS
AC,1200450,01538,Senador Guiomard,SENADOR GUIOMARD
AC,1200500,01457,Sena Madureira,SENA MADUREIRA
AC,1200609,01473,Tarauacá,TARAUACÁ
AC,1200708,01490,Xapuri,XAPURI
AC,1200807,01023,Porto Acre,PORTO ACRE
AM,1300029,02895,Alvarães,ALVARÃES
AM,1300060,02917,Amaturá,AMATURÁ
AM,1300086,02933,Anamã,ANAMÃ
AM,1300102,02038,Anori,ANORI
AM,1300144,02003,Apuí,APUÍ
AM,1300201,02054,Atalaia do Norte,ATALAIA DO NORTE
AM,1300300,02070,Autazes,AUTAZES
AM,1300409,02097,Barcelos,BARCELOS
AM,1300508,02119,Barreirinha,BARREIRINHA
AM,1300607,02135,Benjamin Constant,BENJAMIN CONSTANT
AM,1300631,02950,Beruri,BERURI
AM,1300680,02976,Boa Vista do Ramos,BOA VISTA DO RAMOS
AM,1300706,02151,Boca do Acre,BOCA DO ACRE
AM,1300805,02178,Borba,BORBA
