ano,links_dou,skip_dou,pop_origem
2000,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2000/UF_Municipio.zip,NA,NA
2001,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2001/UF_Municipio.zip,4,NA
2002,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2002/UF_Municipio.zip,4,NA
2003,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2003/UF_Municipio.zip,4,NA
2004,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2004/UF_Municipio.zip,4,NA
2005,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2005/UF_Municipio.zip,4,NA
2006,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2006/UF_Municipio.zip,4,NA
2007,https://www.ibge.gov.br/home/estatistica/populacao/contagem2007/popmunic2007layoutTCU14112007.xls,3,Contagem
2008,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2008/UF_Municipio.zip,4,NA
2009,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2009/UF_Municipio.zip,4,NA
2010,https://ftp.ibge.gov.br/Estimativas_de_Populacao,NA,Censo
2011,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2011/POP2011_DOU.zip,NA,NA
2012,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2012/estimativa_2012_DOU_28_08_2012_xls.zip,NA,NA
2013,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2013/estimativa_2013_dou_xls.zip,NA,NA
2014,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2014/estimativa_dou_2014_xls.zip,NA,NA
2015,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2015/estimativa_dou_2015_20150915.xls,NA,NA
2016,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2016/estimativa_dou_2016_20160913.xlsx,NA,NA
2017,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2017/estimativa_dou_2017.xls,1,NA
2018,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2018/estimativa_dou_2018_20181019.xls,1,NA
2019,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2019/estimativa_dou_2019.xls,1,NA
2020,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2020/estimativa_dou_2020.xls,1,NA
2021,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2021/estimativa_dou_2021.xls,1,NA
2022,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Previa_da_Populacao/POP2022_Municipios_20230622.xls,1,Censo
2024,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2024/estimativa_dou_2024.xls,1,NA
