uf,cod_municipio_tse,nome_municipio_tse
RO,00019,GUAJARÁ-MIRIM
RO,00035,PORTO VELHO
RO,00051,JI-PARANÁ
RO,00078,ARIQUEMES
RO,00094,CACOAL
RO,00116,PIMENTA BUENO
RO,00132,VILHENA
RO,00159,JARU
RO,00175,OURO PRETO DO OESTE
RO,00191,PRESIDENTE MÉDICI
RO,00213,COSTA MARQUES
RO,00230,COLORADO DO OESTE
RO,00256,ESPIGÃO DO OESTE
RO,00272,CEREJEIRAS
RO,00299,ROLIM DE MOURA
RO,00310,ALTA FLORESTA D'OESTE
RO,00337,ALVORADA DO OESTE
RO,00353,SANTA LUZIA D'OESTE
RO,00370,NOVA BRASILÂNDIA D'OESTE
RO,00396,MACHADINHO D'OESTE
RO,00418,SÃO MIGUEL DO GUAPORÉ
RO,00434,NOVA MAMORÉ
RO,00450,CABIXI
RO,00477,CANDEIAS DO JAMARI
RO,00493,ITAPUÃ DO OESTE
RO,00515,NOVO HORIZONTE DO OESTE
RO,00531,CASTANHEIRAS
RO,00558,VALE DO PARAÍSO
RO,00566,URUPÁ
RO,00574,MIRANTE DA SERRA
RO,00582,SERINGUEIRAS
RO,00590,THEOBROMA
RO,00604,MINISTRO ANDREAZZA
RO,00612,GOVERNADOR JORGE TEIXEIRA
RO,00620,CACAULÂNDIA
RO,00639,ALTO PARAÍSO
RO,00647,RIO CRESPO
RO,00655,CORUMBIARA
RO,00663,MONTE NEGRO
RO,00671,CAMPO NOVO DE RONDÔNIA
RO,00680,CUJUBIM
RO,00698,VALE DO ANARI
RO,00701,PARECIS
RO,00710,SÃO FELIPE D'OESTE
RO,00728,PRIMAVERA DE RONDÔNIA
RO,00736,ALTO ALEGRE DOS PARECIS
RO,00744,NOVA UNIÃO
RO,00752,TEIXEIRÓPOLIS
RO,00779,BURITIS
RO,00787,PIMENTEIRAS DO OESTE
RO,00795,SÃO FRANCISCO DO GUAPORÉ
RO,00809,CHUPINGUAIA
AC,01007,BUJARI
AC,01015,CAPIXABA
AC,01023,PORTO ACRE
AC,01031,SANTA ROSA DO PURUS
AC,01040,MARECHAL THAUMATURGO
AC,01058,BRASILÉIA
AC,01066,PORTO WALTER
AC,01074,CRUZEIRO DO SUL
AC,01082,RODRIGUES ALVES
AC,01090,MÂNCIO LIMA
AC,01104,JORDÃO
AC,01112,EPITACIOLÂNDIA
AC,01120,ACRELÂNDIA
AC,01139,FEIJÓ
AC,01392,RIO BRANCO
AC,01457,SENA MADUREIRA
AC,01473,TARAUACÁ
AC,01490,XAPURI
AC,01511,PLÁCIDO DE CASTRO
AC,01538,SENADOR GUIOMARD
AC,01554,MANOEL URBANO
AC,01570,ASSIS BRASIL
AM,02003,APUÍ
AM,02011,NOVO AIRÃO
AM,02020,GUAJARÁ
AM,02038,ANORI
AM,02046,CAREIRO DA VÁRZEA
AM,02054,ATALAIA DO NORTE
AM,02070,AUTAZES
AM,02097,BARCELOS
AM,02119,BARREIRINHA
AM,02135,BENJAMIN CONSTANT
AM,02151,BOCA DO ACRE
AM,02178,BORBA
AM,02194,CANUTAMA
AM,02216,CARAUARI
AM,02232,CAREIRO
AM,02259,COARI
AM,02275,CODAJÁS
AM,02291,EIRUNEPÉ
AM,02313,ENVIRA
AM,02330,FONTE BOA
AM,02356,HUMAITÁ
AM,02372,SANTA ISABEL DO RIO NEGRO
AM,02399,IPIXUNA
AM,02410,ITACOATIARA
AM,02437,ITAPIRANGA
AM,02453,JAPURÁ
AM,02470,JURUÁ
AM,02496,JUTAÍ
AM,02518,LÁBREA
AM,02534,MANACAPURU
AM,02550,MANAUS
AM,02577,MANICORÉ
AM,02593,MARAÃ
AM,02615,MAUÉS
AM,02631,NHAMUNDÁ
AM,02658,NOVA OLINDA DO NORTE
AM,02674,NOVO ARIPUANÃ
AM,02690,PARINTINS
AM,02712,PAUINI
AM,02739,SANTO ANTÔNIO DO IÇÁ
AM,02755,SÃO PAULO DE OLIVENÇA
AM,02771,SILVES
AM,02798,TAPAUÁ
AM,02810,TEFÉ
AM,02836,SÃO GABRIEL DA CACHOEIRA
AM,02852,URUCARÁ
AM,02879,URUCURITUBA
AM,02895,ALVARÃES
AM,02917,AMATURÁ
AM,02933,ANAMÃ
AM,02950,BERURI
AM,02976,BOA VISTA DO RAMOS
AM,02992,CAAPIRANGA
RR,03000,CAROEBE
RR,03018,BOA VISTA
RR,03026,IRACEMA
RR,03034,CARACARAÍ
RR,03042,AMAJARI
RR,03050,ALTO ALEGRE
RR,03069,CANTÁ
RR,03077,BONFIM
RR,03085,RORAINÓPOLIS
RR,03093,MUCAJAÍ
RR,03107,UIRAMUTÃ
RR,03115,NORMANDIA
RR,03123,PACARAIMA
RR,03131,SÃO JOÃO DA BALIZA
RR,03158,SÃO LUIZ
PA,04006,GOIANÉSIA DO PARÁ
PA,04014,ABAETETUBA
PA,04022,TAILÂNDIA
PA,04030,ACARÁ
PA,04049,BOM JESUS DO TOCANTINS
PA,04057,AFUÁ
PA,04065,SÃO JOÃO DE PIRABAS
PA,04073,ALENQUER
PA,04081,TUCUMÃ
PA,04090,ALMEIRIM
PA,04103,MÃE DO RIO
PA,04111,ALTAMIRA
PA,04120,ELDORADO DOS CARAJÁS
PA,04138,ANAJÁS
PA,04146,SANTA LUZIA DO PARÁ
PA,04154,ANANINDEUA
PA,04162,PALESTINA DO PARÁ
PA,04170,AUGUSTO CORRÊA
PA,04189,IPIXUNA DO PARÁ
PA,04197,AVEIRO
PA,04200,JACAREACANGA
PA,04219,BAGRE
PA,04227,BRASIL NOVO
PA,04235,BAIÃO
PA,04243,SANTA BÁRBARA DO PARÁ
PA,04251,BARCARENA
PA,04260,ÁGUA AZUL DO NORTE
PA,04278,BELÉM
PA,04286,TRAIRÃO
PA,04294,BENEVIDES
PA,04308,PAU D'ARCO
PA,04316,BONITO
PA,04324,ULIANÓPOLIS
PA,04332,BRAGANÇA
PA,04340,AURORA DO PARÁ
PA,04359,BREVES
PA,04367,TERRA SANTA
PA,04375,BUJARU
PA,04383,NOVO PROGRESSO
PA,04391,CACHOEIRA DO ARARI
PA,04405,VITÓRIA DO XINGU
PA,04413,CAMETÁ
PA,04421,NOVO REPARTIMENTO
PA,04430,CAPANEMA
PA,04448,BREU BRANCO
PA,04456,CAPITÃO POÇO
PA,04464,SÃO DOMINGOS DO ARAGUAIA
PA,04472,CASTANHAL
PA,04480,NOVA ESPERANÇA DO PIRIÁ
PA,04499,CHAVES
PA,04502,ABEL FIGUEIREDO
PA,04510,COLARES
PA,04529,CUMARU DO NORTE
PA,04537,CONCEIÇÃO DO ARAGUAIA
PA,04545,TERRA ALTA
PA,04553,CURRALINHO
PA,04561,FLORESTA DO ARAGUAIA
PA,04570,CURUÇÁ
PA,04588,BANNACH
PA,04596,FARO
PA,04600,NOVA IPIXUNA
PA,04618,GURUPÁ
PA,04626,PLACAS
PA,04634,IGARAPÉ-AÇU
PA,04642,MARITUBA
PA,04650,IGARAPÉ-MIRI
PA,04669,TRACUATEUA
PA,04677,INHANGAPI
PA,04685,QUATIPURU
PA,04693,IRITUIA
PA,04707,CANAÃ DOS CARAJÁS
PA,04715,ITAITUBA
PA,04723,ANAPU
PA,04731,ITUPIRANGA
PA,04740,CURUÁ
PA,04758,JACUNDÁ
PA,04766,CACHOEIRA DO PIRIÁ
PA,04774,JURUTI
PA,04782,PIÇARRA
PA,04790,LIMOEIRO DO AJURU
PA,04804,BELTERRA
PA,04812,MAGALHÃES BARATA
PA,04820,SÃO JOÃO DA PONTA
PA,04839,MARABÁ
PA,04847,SAPUCAIA
PA,04855,MARACANÃ
PA,04863,MOJUÍ DOS CAMPOS
PA,04871,MARAPANIM
PA,04898,MELGAÇO
PA,04910,MOCAJUBA
PA,04936,MOJU
PA,04952,MONTE ALEGRE
PA,04979,MUANÁ
PA,04995,NOVA TIMBOTEUA
PA,05010,ÓBIDOS
PA,05037,OEIRAS DO PARÁ
PA,05053,ORIXIMINÁ
PA,05070,OURÉM
PA,05096,PARAGOMINAS
PA,05118,PEIXE-BOI
PA,05134,PONTA DE PEDRAS
PA,05150,PORTEL
PA,05177,PORTO DE MOZ
PA,05193,PRAINHA
PA,05215,PRIMAVERA
PA,05231,SALINÓPOLIS
PA,05258,SALVATERRA
PA,05274,SANTA CRUZ DO ARARI
PA,05290,SANTA ISABEL DO PARÁ
PA,05312,SANTA MARIA DO PARÁ
PA,05339,SANTANA DO ARAGUAIA
PA,05355,SANTARÉM
PA,05371,SANTARÉM NOVO
PA,05398,SANTO ANTÔNIO DO TAUÁ
PA,05410,SÃO CAETANO DE ODIVELAS
PA,05436,SÃO DOMINGOS DO CAPIM
PA,05452,SÃO FÉLIX DO XINGU
PA,05479,SÃO FRANCISCO DO PARÁ
PA,05495,SÃO JOÃO DO ARAGUAIA
PA,05517,SÃO MIGUEL DO GUAMÁ
PA,05533,SÃO SEBASTIÃO DA BOA VISTA
PA,05550,SENADOR JOSÉ PORFÍRIO
PA,05576,SOURE
PA,05592,TOMÉ-AÇU
PA,05614,TUCURUÍ
PA,05630,VIGIA
PA,05657,VISEU
PA,05673,REDENÇÃO
PA,05690,RIO MARIA
PA,05711,XINGUARA
PA,05738,RONDON DO PARÁ
PA,05754,URUARÁ
PA,05770,MEDICILÂNDIA
PA,05797,SÃO GERALDO DO ARAGUAIA
PA,05819,CONCÓRDIA DO PARÁ
PA,05835,PARAUAPEBAS
PA,05851,CURIONÓPOLIS
PA,05878,GARRAFÃO DO NORTE
PA,05894,RURÓPOLIS
PA,05916,PACAJÁ
PA,05932,BREJO GRANDE DO ARAGUAIA
PA,05959,OURILÂNDIA DO NORTE
PA,05975,DOM ELISEU
PA,05991,SANTA MARIA DAS BARREIRAS
AP,06009,PRACUÚBA
AP,06017,AMAPÁ
AP,06025,PORTO GRANDE
AP,06033,CALÇOENE
AP,06041,ITAUBAL
AP,06050,MACAPÁ
AP,06068,CUTIAS
AP,06076,MAZAGÃO
AP,06084,PEDRA BRANCA DO AMAPARI
AP,06092,OIAPOQUE
AP,06106,SERRA DO NAVIO
AP,06114,FERREIRA GOMES
AP,06122,VITÓRIA DO JARI
AP,06130,LARANJAL DO JARI
AP,06157,SANTANA
AP,06173,TARTARUGALZINHO
MA,07005,ÁGUA DOCE DO MARANHÃO
MA,07013,AFONSO CUNHA
MA,07021,ALTO ALEGRE DO MARANHÃO
MA,07030,ALCÂNTARA
MA,07048,ALTO ALEGRE DO PINDARÉ
MA,07056,ALDEIAS ALTAS
MA,07064,APICUM-AÇU
MA,07072,ALTAMIRA DO MARANHÃO
MA,07080,AMAPÁ DO MARANHÃO
MA,07099,ALTO PARNAÍBA
MA,07102,ARAGUANÃ
MA,07110,AMARANTE DO MARANHÃO
MA,07129,BACABEIRA
MA,07137,ANAJATUBA
MA,07145,BACURITUBA
MA,07153,ANAPURUS
MA,07161,BELÁGUA
MA,07170,ARAIOSES
MA,07188,BELA VISTA DO MARANHÃO
MA,07196,ARARI
MA,07200,BERNARDO DO MEARIM
MA,07218,AXIXÁ
MA,07226,CACHOEIRA GRANDE
MA,07234,BACABAL
MA,07242,DAVINÓPOLIS
MA,07250,BACURI
MA,07269,BOM JESUS DAS SELVAS
MA,07277,BALSAS
MA,07285,BOM LUGAR
MA,07293,BARÃO DE GRAJAÚ
MA,07307,BREJO DE AREIA
MA,07315,BARRA DO CORDA
MA,07323,BOA VISTA DO GURUPI
MA,07331,BARREIRINHAS
MA,07340,BURITICUPU
MA,07358,BENEDITO LEITE
MA,07366,BURITIRANA
MA,07374,BEQUIMÃO
MA,07382,CAMPESTRE DO MARANHÃO
MA,07390,BREJO
MA,07404,CAPINZAL DO NORTE
MA,07412,BURITI
MA,07420,CENTRAL DO MARANHÃO
MA,07439,BURITI BRAVO
MA,07447,CENTRO DO GUILHERME
MA,07455,CAJAPIÓ
MA,07463,CENTRO NOVO DO MARANHÃO
MA,07471,CAJARI
MA,07480,CIDELÂNDIA
MA,07498,CÂNDIDO MENDES
MA,07501,CONCEIÇÃO DO LAGO-AÇU
MA,07510,CANTANHEDE
MA,07528,FEIRA NOVA DO MARANHÃO
MA,07536,CAROLINA
MA,07544,FERNANDO FALCÃO
MA,07552,CARUTAPERA
MA,07560,FORMOSA DA SERRA NEGRA
MA,07579,CAXIAS
MA,07595,CEDRAL
MA,07609,GOVERNADOR EDISON LOBÃO
MA,07617,CHAPADINHA
MA,07625,GOVERNADOR LUIZ ROCHA
MA,07633,CODÓ
MA,07641,GOVERNADOR NEWTON BELLO
MA,07650,COELHO NETO
MA,07668,GOVERNADOR NUNES FREIRE
MA,07676,COLINAS
MA,07684,IGARAPÉ DO MEIO
MA,07692,COROATÁ
MA,07706,ITAIPAVA DO GRAJAÚ
MA,07714,CURURUPU
MA,07722,ITINGA DO MARANHÃO
MA,07730,DOM PEDRO
MA,07749,JATOBÁ
MA,07757,DUQUE BACELAR
MA,07765,JENIPAPO DOS VIEIRAS
MA,07773,ESPERANTINÓPOLIS
MA,07781,JUNCO DO MARANHÃO
