uf,cod_municipio_tse,nome_municipio_tse,nr_zona
RO,00019,GUAJARÁ-MIRIM,1
RO,00035,PORTO VELHO,2
RO,00035,PORTO VELHO,6
RO,00035,PORTO VELHO,20
RO,00035,PORTO VELHO,21
RO,00051,JI-PARANÁ,3
RO,00051,JI-PARANÁ,30
RO,00078,ARIQUEMES,7
RO,00094,CACOAL,11
RO,00116,PIMENTA BUENO,9
RO,00132,VILHENA,4
RO,00159,JARU,10
RO,00175,OURO PRETO DO OESTE,13
RO,00191,PRESIDENTE MÉDICI,3
RO,00213,COSTA MARQUES,5
RO,00230,COLORADO DO OESTE,8
RO,00256,ESPIGÃO DO OESTE,12
RO,00272,CEREJEIRAS,16
RO,00299,ROLIM DE MOURA,29
RO,00310,ALTA FLORESTA D'OESTE,17
RO,00337,ALVORADA DO OESTE,18
RO,00353,SANTA LUZIA D'OESTE,19
RO,00370,NOVA BRASILÂNDIA D'OESTE,15
RO,00396,MACHADINHO D'OESTE,32
RO,00418,SÃO MIGUEL DO GUAPORÉ,35
RO,00434,NOVA MAMORÉ,1
RO,00450,CABIXI,8
RO,00477,CANDEIAS DO JAMARI,21
RO,00493,ITAPUÃ DO OESTE,2
RO,00515,NOVO HORIZONTE DO OESTE,15
RO,00531,CASTANHEIRAS,15
RO,00558,VALE DO PARAÍSO,28
RO,00566,URUPÁ,18
RO,00574,MIRANTE DA SERRA,28
RO,00582,SERINGUEIRAS,35
RO,00590,THEOBROMA,27
RO,00604,MINISTRO ANDREAZZA,11
RO,00612,GOVERNADOR JORGE TEIXEIRA,27
RO,00620,CACAULÂNDIA,26
RO,00639,ALTO PARAÍSO,25
RO,00647,RIO CRESPO,26
RO,00655,CORUMBIARA,16
RO,00663,MONTE NEGRO,25
RO,00671,CAMPO NOVO DE RONDÔNIA,34
RO,00680,CUJUBIM,26
RO,00698,VALE DO ANARI,32
RO,00701,PARECIS,19
RO,00710,SÃO FELIPE D'OESTE,19
RO,00728,PRIMAVERA DE RONDÔNIA,9
RO,00736,ALTO ALEGRE DOS PARECIS,19
RO,00744,NOVA UNIÃO,28
